site,pl_div,pl_phyl_div,conn,int_even,FRic_occ5,FEve_occ5,FDis_occ5,FDiv_occ5,FEve_abund5,FDis_abund5,FDiv_abund5,FRic_occ10,FEve_occ10,FDis_occ10,FDiv_occ10,FEve_abund10,FDis_abund10,FDiv_abund10
Arne,7,685.874998,0.162162162162162,0.596724273808635,0.0231462272781581,0.888281948952143,0.59501834920403,0.765642454751095,0.723434400589873,0.537748645416486,0.83066189262028,0.000318137959449562,0.888281948952143,0.59501834920403,0.815129153358154,0.723434400589873,0.537748645416486,0.833110119877057
Bodmin_Moor,12,1146.16668,0.102941176470588,0.583471395533297,0.135111335019917,0.921344325108112,0.633694815405021,0.757683293320321,0.788734925836558,0.607449082205478,0.771139791367044,0.00143022720431102,0.921344325108112,0.633694815405021,0.763726842038714,0.788734925836558,0.607449082205478,0.777451394012927
Braunton_Burrows,34,2025.782142,0.060639070442992,0.508457505479781,0.52571336743246,0.926840094955953,0.642672213627088,0.709455848840262,0.65871482633142,0.601826337827795,0.478483805352204,0.0690721822285904,0.926840094955953,0.642672213627088,0.75174373174083,0.65871482633142,0.601826337827795,0.532578720209496
Burnham-on-Sea,8,575.99583,0.161184210526316,0.370837309329476,0.0465986307994146,0.884455145710108,0.645988821717899,0.745527347667838,0.681219563750543,0.422774334459635,0.679272094352377,0.000408591600064922,0.884455145710108,0.645988821717899,0.765387971026955,0.681219563750543,0.422774334459635,0.566867674409663
Bystock,25,1622.94083,0.0677966101694915,0.546270030535809,0.184077427422315,0.958646455849708,0.627400397816828,0.727082548403413,0.702461901043492,0.588361629600022,0.646669229600061,0.0188200414250268,0.958646455849708,0.627400397816828,0.774986470465649,0.702461901043492,0.588361629600022,0.677710288395328
Chagford_Common,7,617.394998,0.19047619047619,0.617514200317497,0.0665943846096427,0.819794390334311,0.579598553235021,0.676968816471346,0.618670603310277,0.493120274279245,0.63644623228457,0.00105675474110483,0.819794390334311,0.579598553235021,0.753667080510908,0.618670603310277,0.493120274279245,0.671163285199543
Cloud_Hill,7,748.375019,0.19047619047619,0.611534862410667,0.0122032520755662,0.850586304664084,0.565747759169537,0.70378857597086,0.66441545692983,0.489660566895859,0.664513516440338,2.80518418030702e-05,0.850586304664084,0.565747759169537,0.749140758425379,0.66441545692983,0.489660566895859,0.661434030102613
Dartmoor_Scrub,6,477.545,0.263888888888889,0.496125830888668,0.0216821635902711,0.931643516829529,0.567659112938942,0.742775451549609,0.67991967947851,0.343911984343168,0.837811286013355,0.000185801375815991,0.931643516829529,0.567659112938942,0.772165144741404,0.67991967947851,0.343911984343168,0.83010932973827
Dolebury_Warren,32,1764.148114,0.0583333333333333,0.597626067817676,0.341199828618791,0.943713049251985,0.638542599279295,0.708359628406567,0.690273268788508,0.577133897293739,0.583625225173532,0.0289554963529822,0.943713049251985,0.638542599279295,0.746230410231246,0.690273268788508,0.577133897293739,0.66053340829856
Dunkery_Hill,6,519.694999,0.241935483870968,0.651216150968771,0.00584678706622281,0.791941181937759,0.588511096811079,0.716075176818662,0.4897380139942,0.524071815447802,0.691085785265741,2.26542240461141e-05,0.791941181937759,0.588511096811079,0.744956641915505,0.4897380139942,0.524071815447802,0.66290439315254
Forest_of_Dean,16,1489.200016,0.0928030303030303,0.333222696444787,0.0286424598859019,0.854939518740225,0.65314696114083,0.762863858326071,0.690203854239571,0.412742278790629,0.892372337703767,1.04428427652736e-05,0.854939518740225,0.65314696114083,0.703582488638418,0.690203854239571,0.412742278790629,0.906787479561969
Haddon_Hill,9,930.230016,0.17037037037037,0.657871173834357,0.0565053842916797,0.938400521714805,0.599852096384044,0.711609567384375,0.762664319242561,0.561253863365621,0.684650396428051,0.000145934070923561,0.938400521714805,0.599852096384044,0.781453397621382,0.762664319242561,0.561253863365621,0.722481796946042
Hangman_Hill,13,1081.332502,0.137019230769231,0.590709245646482,0.119248555514319,0.935519226749971,0.588313944992706,0.77462387801402,0.671999664614424,0.550891623461749,0.79521920197557,0.000928492225591471,0.935519226749971,0.588313944992706,0.82167672883601,0.671999664614424,0.550891623461749,0.852687231954611
Haytor,10,821.994996,0.139393939393939,0.604809020283415,0.0536697523587188,0.889827174439954,0.59172306939045,0.740977370083084,0.618112902401693,0.563277391724265,0.71650858052358,0.000711671729275623,0.889827174439954,0.59172306939045,0.766693501862618,0.618112902401693,0.563277391724265,0.757995553824922
Hells_Mouth,19,1356.844994,0.0835421888053467,0.518100291707013,0.265812038084582,0.879788288432113,0.621999263530526,0.743801582042335,0.563464370899854,0.488023200763707,0.792615278752196,0.0450289438514634,0.879788288432113,0.621999263530526,0.753307026299003,0.563464370899854,0.488023200763707,0.764643221837992
Leigh_Woods,5,651.900004,0.218181818181818,0.533676882920493,0.0291790475430825,0.75,0.617033673769006,0.818923893035739,0.650911345309838,0.567679990769318,0.912553986392186,2.11267088762379e-07,0.75,0.617033673769006,0.77307573608702,0.650911345309838,0.567679990769318,0.880079532998066
Lytchett_Bay,13,1007.061678,0.108597285067873,0.574490024871293,0.0331442557130096,0.955991184841949,0.615343363057743,0.729713318154614,0.686723114657953,0.538746621949623,0.751709229290737,0.00114845742472704,0.955991184841949,0.615343363057743,0.743016012467958,0.686723114657953,0.538746621949623,0.776700658063641
Merthyr_Mawr,21,1284.730362,0.0732054015636105,0.580324810045546,0.358655374088399,0.908363361005547,0.616014248301365,0.708700630390013,0.65470754337037,0.600430954356069,0.603203706414323,0.0206590354456756,0.908363361005547,0.616014248301365,0.758865878652862,0.65470754337037,0.600430954356069,0.6689605485527
North_Hill,6,610.474999,0.237179487179487,0.62515940048565,0.113030256256297,0.922705281965152,0.615815630099318,0.739871108270573,0.625804932353004,0.517234880931246,0.781893375643605,0.00250561497193295,0.922705281965152,0.615815630099318,0.757433490991014,0.625804932353004,0.517234880931246,0.795126152256363
Oxwich_Bay,35,1888.251081,0.0532142857142857,0.574486895739545,0.201543862124439,0.912732552476192,0.641892025479414,0.718183790185627,0.634150847974274,0.581747651715915,0.614319118657282,0.0237878295991769,0.912732552476192,0.641892025479414,0.753189219730428,0.634150847974274,0.581747651715915,0.676495000445268
Pembrey,22,1341.483333,0.0766233766233766,0.597053099912399,0.163364407021187,0.932750943108205,0.641428710541281,0.752039827457155,0.709030114072489,0.593478801337939,0.660526509115664,0.0193580201128209,0.932750943108205,0.641428710541281,0.77129175729771,0.709030114072489,0.593478801337939,0.749952327027843
Penhale_Sands,21,1482.307501,0.0770975056689342,0.523676924909037,0.244987001378426,0.82841143357186,0.617953330710314,0.693979434198891,0.585128318268717,0.517796474779648,0.456542768464347,0.0056035950737761,0.82841143357186,0.617953330710314,0.739307029197467,0.585128318268717,0.517796474779648,0.676661384955028
Pewsey_Downs,24,1256.253749,0.0814393939393939,0.619571697140357,0.137892747675575,0.908910597641021,0.641950405708164,0.732894432523931,0.674138961444032,0.594148379008113,0.691161012056722,0.0188738610945089,0.908910597641021,0.641950405708164,0.777318968851954,0.674138961444032,0.594148379008113,0.758367714914632
Seet_Bridge,13,1062.184472,0.094551282051282,0.567544905543624,0.0801215684752867,0.878212992572657,0.649609239161555,0.68130743004957,0.750850271181636,0.616619499263449,0.554972605645594,0.000691616712472987,0.878212992572657,0.649609239161555,0.733431923667804,0.750850271181636,0.616619499263449,0.626504710941057
Studland,13,807.132491,0.118067978533095,0.588103122386636,0.065400011536848,0.866536303419361,0.632132969346307,0.79102769198026,0.680846554257573,0.590385383583456,0.790585840539557,0.00814588083576042,0.866536303419361,0.632132969346307,0.745891802361189,0.680846554257573,0.590385383583456,0.703176463112972
Walborough,22,1457.895827,0.0732323232323232,0.593388431396905,0.0874309618941733,0.876111173473346,0.64312706622687,0.765441269444708,0.665049961419332,0.589645517565301,0.679156382466768,0.00666592989419553,0.876111173473346,0.64312706622687,0.808888236905704,0.665049961419332,0.589645517565301,0.739251202007327
Wheal_Coates,10,962.375011,0.141379310344828,0.420339323365278,0.0150579390443221,0.956822817621292,0.604494995374185,0.727873532597596,0.706364296898247,0.27797511792596,0.932169787314222,0.000505366475246854,0.956822817621292,0.604494995374185,0.758339521473219,0.706364296898247,0.27797511792596,0.862333259168787
Woodland_Hill,9,922.975005,0.166666666666667,0.625443483388393,0.0891783621315314,0.897365722020352,0.599209628715411,0.68643908816175,0.660982218007649,0.547129034487568,0.659806071470576,0.00131033228089172,0.897365722020352,0.599209628715411,0.766403588279327,0.660982218007649,0.547129034487568,0.726502140122407
Woolacombe,25,1700.314778,0.0616393442622951,0.565351282500989,0.364960937953694,0.932062768949523,0.632437088423968,0.70218669056556,0.663577072287119,0.60607075955058,0.577804403947789,0.0208758281561595,0.932062768949523,0.632437088423968,0.749898781099078,0.663577072287119,0.60607075955058,0.685055648226031
Wyeswood_Common,25,1485.569644,0.072,0.596349801853509,0.30996885809342,0.860880176875554,0.641382806238042,0.695643963233742,0.60135045058217,0.557128274155373,0.497232620819165,0.0205848639838338,0.860880176875554,0.641382806238042,0.730100363983371,0.60135045058217,0.557128274155373,0.631524903419261
