monad,triad,habitat,n_pl_monad,n_pl_triad,SC_triad,SC_monad_mean,SC_monad_sd,n2sample_mean,n2sample_sd
Burnham-on-Sea,Merthyr_Mawr,salt_marsh,8,4,0.8454,0.800997,0.141835194913539,40.51,21.8204310709301
Burnham-on-Sea,Lytchett_Bay,salt_marsh,8,3,0.5058,0.766778,0.174518344716033,5.79,6.12874498992372
Burnham-on-Sea,Arne,salt_marsh,8,3,0.5707,0.752839,0.176796019480192,9.73,10.3600388049661
Dartmoor_Scrub,Haddon_Hill,scrub,6,5,0.2843,0.804184,0.100061922969144,1.54,1.15836875899611
Dartmoor_Scrub,Dolebury_Warren,scrub,6,15,NA,NA,NA,NA,NA
Dartmoor_Scrub,Woolacombe,scrub,6,6,0.6632,0.8377,0,24,0
Dartmoor_Scrub,Lytchett_Bay,scrub,6,10,NA,NA,NA,NA,NA
Dartmoor_Scrub,Woodland_Hill,scrub,6,5,0.6095,0.823886,0.0829361188024868,15.44,9.56774885653978
Dartmoor_Scrub,Oxwich_Bay,scrub,6,20,NA,NA,NA,NA,NA
Dartmoor_Scrub,Hangman_Hill,scrub,6,6,0.6538,0.8377,0,22,0
Dunkery_Hill,Haddon_Hill,heathland,6,5,0.6244,0.868791,0.029270563332088,28.46,2.91086435842196
Dunkery_Hill,Woodland_Hill,heathland,6,2,0.9131,0.814685,0.156442395488118,44.03,21.3079655044632
Dunkery_Hill,Arne,heathland,6,3,0.6681,0.851135,0.0882323852852869,22.36,6.02104054901886
Dunkery_Hill,Hangman_Hill,heathland,6,4,0.3524,0.857016,0.0468673557430269,8.12,1.24137427918018
Dunkery_Hill,Bystock,heathland,6,4,0.8673,0.854442,0.0492700314182932,86.97,22.0506556397177
Forest_of_Dean,Haddon_Hill,woodland,16,5,0.4238,0.580515,0.275147276770353,10.39,8.61979750869526
Forest_of_Dean,Dolebury_Warren,woodland,16,6,0.5031,0.58482,0.244968874543174,14.68,10.9838081012024
Forest_of_Dean,Bystock,woodland,16,10,0.7076,0.657985,0.237953873118979,18.33,16.6963705001652
Forest_of_Dean,Lytchett_Bay,woodland,16,1,0.5923,0.578564,0.231756802835658,3.22,2.14890152817149
Forest_of_Dean,Woodland_Hill,woodland,16,5,0.5646,0.541087,0.267820629200315,12.51,8.48944085677061
Forest_of_Dean,Arne,woodland,16,1,1,0.532449,0.23421250710378,9.48,22.7695880817845
Hells_Mouth,Haddon_Hill,scrub,19,5,0.2843,0.652167,0.171115309373592,5.4,3.54480698567024
Hells_Mouth,Dolebury_Warren,scrub,19,15,0.6165,0.762691,0.0738516258822685,52.02,19.6180601188875
Hells_Mouth,Woolacombe,scrub,19,6,0.6632,0.70035,0.145250672558814,34.08,15.0034878099943
Hells_Mouth,Lytchett_Bay,scrub,19,10,0.6269,0.735246,0.108325411756998,42,19.9514562390971
Hells_Mouth,Woodland_Hill,scrub,19,5,0.6095,0.669831,0.193307053435928,21.48,12.0482866882064
Hells_Mouth,Oxwich_Bay,scrub,19,20,NA,NA,NA,NA,NA
Hells_Mouth,Hangman_Hill,scrub,19,6,0.6538,0.685585,0.161965903866065,31.94,15.9068119579841
Leigh_Woods,Haddon_Hill,woodland,5,5,0.4238,0.7662,0,6,0
Leigh_Woods,Dolebury_Warren,woodland,5,6,NA,NA,NA,NA,NA
Leigh_Woods,Bystock,woodland,5,10,NA,NA,NA,NA,NA
Leigh_Woods,Lytchett_Bay,woodland,5,1,0.5923,0.76705,0.0880178614793267,11.34,3.81708016815222
Leigh_Woods,Woodland_Hill,woodland,5,5,0.5646,0.7662,0,20,0
Leigh_Woods,Arne,woodland,5,1,1,0.758765,0.0900988810062914,17.73,7.25140877988059
Penhale_Sands,Merthyr_Mawr,sand_dune,21,12,0.6609,0.786113,0.0663445561619281,52.64,24.9320369133062
Penhale_Sands,Woolacombe,sand_dune,21,14,0.4618,0.790265,0.049150544608921,16.65,6.13546570310188
Penhale_Sands,Oxwich_Bay,sand_dune,21,16,0.6188,0.798148,0.0386658842136088,46.94,13.870847271901
Pewsey_Downs,Dolebury_Warren,grassland,24,20,0.6119,0.671373,0.020631332722318,197.08,19.680621653974
Pewsey_Downs,Merthyr_Mawr,grassland,24,11,0.6358,0.659463,0.0597786635612717,120.43,29.2879314614899
Pewsey_Downs,Woolacombe,grassland,24,16,0.7466,0.670622,0.0339007272649262,229.26,42.4572559859747
Pewsey_Downs,Oxwich_Bay,grassland,24,19,0.4126,0.668062,0.0244174336625835,67.63,5.94019861586796
Pewsey_Downs,Hangman_Hill,grassland,24,10,0.5961,0.657714,0.0635167599293225,92.81,23.7404717729029
Pewsey_Downs,Bystock,grassland,24,16,0.6738,0.667459,0.0326664597859868,213.51,35.5148268937486
Wheal_Coates,Haddon_Hill,heathland,10,5,0.6244,0.729086,0.201437294561866,13.83,11.975610737046
Wheal_Coates,Woodland_Hill,heathland,10,2,0.9131,0.650476,0.185007859030449,31.4,42.0423067344735
Wheal_Coates,Arne,heathland,10,3,0.6681,0.632461,0.236696985635835,11.1,8.19275363484171
Wheal_Coates,Hangman_Hill,heathland,10,4,0.3524,0.677078,0.221245140141798,2.65,1.77169096878911
Wheal_Coates,Bystock,heathland,10,4,0.8673,0.660135,0.256695139064206,48.27,39.8438505197781
Wyeswood_Common,Dolebury_Warren,grassland,25,20,0.6119,0.714306,0.0206360125543045,156.24,22.6569141229727
Wyeswood_Common,Merthyr_Mawr,grassland,25,11,0.6358,0.698947,0.0569234794804536,111.65,33.5081401236394
Wyeswood_Common,Woolacombe,grassland,25,16,0.7466,0.706576,0.0314274476960327,278.88,62.3522544609546
Wyeswood_Common,Oxwich_Bay,grassland,25,19,0.4126,0.709183,0.0263705952518974,46.04,6.03344215538893
Wyeswood_Common,Hangman_Hill,grassland,25,10,0.5961,0.706561,0.0673033535043336,70.88,23.9601015157796
Wyeswood_Common,Bystock,grassland,25,16,0.6738,0.705891,0.0305869487417973,211.52,42.6471262072531
